Total protocol
Name	ID	Stages_scores	Total_score	Stage_rewards	Cup_reward	Total_reward	Link_to_athlete
Boris Pashkov... MTB	25796739	[60.256410256410255]	60.256410256410255	[0.6632459056405643]	0.3804277553459168	1.0436736609864812	https://www.strava.com/athletes/25796739
Копьев Сергей	29411187	[58.99581589958159]	58.99581589958159	[0.6493704682840671]	0.37246901569432855	1.0218394839783955	https://www.strava.com/athletes/29411187
Mikhail Barmaglot	32631148	[56.287425149700596]	56.287425149700596	[0.6195590495804073]	0.35536963972432944	0.9749286893047368	https://www.strava.com/athletes/32631148
Onbaev Bahtiyar	6138809	[55.40275049115913]	55.40275049115913	[0.6098213827893597]	0.34978426228268966	0.9596056450720494	https://www.strava.com/athletes/6138809
Alexey Zhitnik	7496164	[55.294117647058826]	55.294117647058826	[0.608625654587812]	0.3490984107880178	0.9577240653758299	https://www.strava.com/athletes/7496164
Артём Троицкий	43987073	[55.078125]	55.078125	[0.6062482106245783]	0.3477347451208771	0.9539829557454554	https://www.strava.com/athletes/43987073
Бахытжан Сыбанов	6692032	[53.81679389312977]	53.81679389312977	[0.5923646638163819]	0.33977135401123865	0.9321360178276206	https://www.strava.com/athletes/6692032
ДД младший	4890496	[53.81679389312977]	53.81679389312977	[0.5923646638163819]	0.33977135401123865	0.9321360178276206	https://www.strava.com/athletes/4890496
Andrew Davydenko	40690082	[52.71028037383178]	52.71028037383178	[0.5801852034388487]	0.3327854009381104	0.9129706043769591	https://www.strava.com/athletes/40690082
Сергей Троицкий	10901054	[52.22222222222222]	52.22222222222222	[0.5748131182218224]	0.32970405463312785	0.9045171728549501	https://www.strava.com/athletes/10901054
Nurmyshev Serik	17084912	[51.74311926605505]	51.74311926605505	[0.5695396033757506]	0.32667924679245697	0.8962188501682076	https://www.strava.com/athletes/17084912
Vladimir Patsegon (Vagrant) 🇨🇿🇰🇿	47602142	[51.74311926605505]	51.74311926605505	[0.5695396033757506]	0.32667924679245697	0.8962188501682076	https://www.strava.com/athletes/47602142
Николай Морозов	34409651	[51.64835164835165]	51.64835164835165	[0.5684964905490552]	0.326080933153643	0.8945774237026982	https://www.strava.com/athletes/34409651
Sergio Moscu	3396132	[51.553930530164536]	51.553930530164536	[0.5674571916632251]	0.3254848071332524	0.8929419987964775	https://www.strava.com/athletes/3396132
Chingis Rakhimov 😊	64252602	[51.553930530164536]	51.553930530164536	[0.5674571916632251]	0.3254848071332524	0.8929419987964775	https://www.strava.com/athletes/64252602
